compound_id,smiles,measured_log_solubility_mol_per_L
Amigdalin,OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O,-0.77
2-Chloropropane,CC(C)Cl,-1.41
Cyclobutyl-5-spirobarbituric acid,O=C2NC(=O)C1(CCC1)C(=O)N2,-1.655
brompyrazone,c1ccccc1n2ncc(N)c(Br)c2(=O),-3.127
cyclobarbital,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2,-2.17
"2,2,5-Trimethylhexane",CC(C)CCC(C)(C)C,-5.05
Triamcinolone,CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,-3.68
5-Allyl-5-phenylbarbital,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,-2.369
Thiourea,NC(=S)N,0.32
Flucythrinate,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,-6.876
Dichloromethane,ClCCl,-0.63
2-Methylpropane,CC(C)C,-2.55
Cyfluthrin,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,-7.337000000000001
Cyclopropyl-5-spirobarbituric acid,O=C2NC(=O)C1(CC1)C(=O)N2,-1.886
Trichloroethylene,ClC=C(Cl)Cl,-1.96
Amobarbital,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.468
chloroacetamide,NC(=O)CCl,-0.02
Butabarbital,O=C1NC(=O)NC(=O)C1(CC)C(C)CC,-2.39
Chloroacetonitrile,ClCC#N,-0.092
Diosgenin,C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21,-7.32
Dapsone,Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,-3.094
Propetamphos,CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C,-3.408
5-Allyl-5-methylbarbital,O=C1NC(=O)NC(=O)C1(C)CC=C,-1.16
"3,3-Dimethyl-2-butanone",CC(=O)C(C)(C)C,-0.72
"2,4-Dimethyl-3-pentanol",CC(C)C(O)C(C)C,-1.22
Phenytoin,O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,-4.097
Flutriafol,OC(Cn1cncn1)(c2ccc(F)cc2)c3ccccc3F,-3.37
triamcinolone diacetate,CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O,-4.13
4-Methyl-2-pentanone,CC(C)CC(=O)C,-0.74
Deltamethrin,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.402000000000001
Talbutal,CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,-2.016
"1,1,2-Trichloroethane",ClCC(Cl)Cl,-1.48
"5,5-Diisopropylbarbital",O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C,-2.766
Barbital,O=C1NC(=O)NC(=O)C1(CC)CC,-2.4
Sulfanilamide,Nc1ccc(cc1)S(N)(=O)=O,-1.34
"2,4-Dimethylpentane",CC(C)CC(C)C,-4.26
Reposal,CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3,-2.696
2-Propanol,CC(C)O,0.43
Chlorodibromethane,ClC(Br)Br,-1.9
Bromochloromethane,ClCBr,-0.89
Kepone,ClC1(C(=O)C2(Cl)C3(Cl)C14Cl)C5(Cl)C2(Cl)C3(Cl)C(Cl)(Cl)C45Cl,-5.259
"1,2-Dichloroethane",ClCCCl,-1.06
1-Chloro-2-bromoethane,ClCCBr,-1.32
allantoin,NC(=O)NC1NC(=O)NC1=O,-1.6
Cypermethrin,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.017000000000001
